config,trial,prefix_cache_slots,ddtree_budget,chunk,cache_type_v,draft,wall_s,ctok,ptok,decode_path,decode_tokens,decode_speed_tps,specdec_accept_pct,specdec_avg_commit
baseline,1,0,22,512,q4_0,q8,68.860,1024,440,spec,1024,15.91,20.2,4.23
baseline,2,0,22,512,q4_0,q8,76.073,1024,440,spec,1024,14.26,20.2,4.23
baseline,3,0,22,512,q4_0,q8,82.737,1024,440,spec,1024,13.48,20.2,4.23
prefix-16,1,16,22,512,q4_0,q8,66.467,1024,440,spec,1024,16.54,20.2,4.23
prefix-16,2,16,22,512,q4_0,q8,59.980,1024,440,spec,1024,18.43,20.2,4.23
prefix-16,3,16,22,512,q4_0,q8,60.801,1024,440,spec,1024,17.87,20.2,4.23
budget-8,1,0,8,512,q4_0,q8,51.173,1024,440,spec,1024,21.27,20.2,4.23
budget-8,2,0,8,512,q4_0,q8,75.427,1024,440,spec,1024,14.64,20.2,4.23
budget-8,3,0,8,512,q4_0,q8,76.564,1024,440,spec,1024,14.17,20.2,4.23
budget-32,1,0,32,512,q4_0,q8,59.910,1024,440,spec,1024,18.77,20.2,4.23
budget-32,2,0,32,512,q4_0,q8,60.061,1024,440,spec,1024,18.83,20.2,4.23
budget-32,3,0,32,512,q4_0,q8,66.602,1024,440,spec,1024,16.75,20.2,4.23
budget-48,1,0,48,512,q4_0,q8,138.671,1024,440,spec,1024,8.43,20.2,4.23
budget-48,2,0,48,512,q4_0,q8,53.142,1024,440,spec,1024,21.61,20.2,4.23
budget-48,3,0,48,512,q4_0,q8,53.048,1024,440,spec,1024,20.33,20.2,4.23
chunk-2048,1,0,22,2048,q4_0,q8,56.000,1024,440,spec,1024,19.85,20.2,4.23
chunk-2048,2,0,22,2048,q4_0,q8,59.183,1024,440,spec,1024,18.09,20.2,4.23
chunk-2048,3,0,22,2048,q4_0,q8,59.579,1024,440,spec,1024,17.94,20.2,4.23
cache-v-q8,1,0,22,512,q8_0,q8,61.613,1024,440,spec,1024,18.48,19.0,4.03
cache-v-q8,2,0,22,512,q8_0,q8,61.571,1024,440,spec,1024,17.64,19.0,4.03
cache-v-q8,3,0,22,512,q8_0,q8,61.958,1024,440,spec,1024,17.14,19.0,4.03
draft-q4,1,0,22,512,q4_0,q4,44.635,1024,440,spec,1024,25.45,22.1,4.53
draft-q4,2,0,22,512,q4_0,q4,44.764,1024,440,spec,1024,24.30,22.1,4.53
draft-q4,3,0,22,512,q4_0,q4,44.199,1024,440,spec,1024,23.72,22.1,4.53
no-draft,1,0,22,512,q4_0,none,57.796,1024,440,ar,1024,18.16,NaN,NaN
no-draft,2,0,22,512,q4_0,none,60.361,1024,440,ar,1024,17.72,NaN,NaN
no-draft,3,0,22,512,q4_0,none,61.404,1024,440,ar,1024,17.40,NaN,NaN
