cell	budget	max_ctx	lazy	kv	mean_decode_tps	mean_prefill_tps	ok	vram_peak_mib	prefill_mode
b16-ctx65k-l0-tq3	16	65536	0	tq3_0	51.067	0.000	3	20723	off
b16-ctx65k-l1-tq3	16	65536	1	tq3_0	47.333	0.000	3	20723	off
b16-ctx65k-l0-q80	16	65536	0	q8_0	35.300	0.000	3	21953	off
b16-ctx65k-l1-q80	16	65536	1	q8_0	35.300	0.000	3	21953	off
b16-ctx65k-l0-q40	16	65536	0	q4_0	37.333	0.000	3	20929	off
b22-ctx65k-l0-tq3	22	65536	0	tq3_0	44.133	0.000	3	21167	off
b22-ctx65k-l1-tq3	22	65536	1	tq3_0	31.400	0.000	3	21167	off
b22-ctx65k-l0-q80	22	65536	0	q8_0	28.200	0.000	3	22397	off
b32-ctx65k-l0-q80	32	65536	0	q8_0	25.267	0.000	3	23135	off
b32-ctx65k-l0-tq3	32	65536	0	tq3_0	42.167	0.000	3	21905	off
b08-ctx65k-l0-q80	8	65536	0	q8_0	34.300	0.000	3	21879	off
